CountryName,CountryCode,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",High-technology exports (% of manufactured exports),Hightechexports,Patentnonresidents,Patentresidents,Rdexpenditure,Researchers in R&D (per million people),Scientific and technical journal articles,Technicians in R&D (per million people),"Trademark applications, direct nonresident","Trademark applications, direct resident","Trademark applications, total"
Azerbaijan,AZE,2013,0,0,13.42318223,71872403,0,156,0.21141,0,481.1,0,4601,1117,5718
Azerbaijan,AZE,2015,0,0,2.533869681,9446115,0,184,0.22244,0,420.9,0,4095,856,4951
Bulgaria,BGR,1989,0,0,0,0,267,63,0,0,0,0,2711,230,2941
Central African Republic,CAF,1992,0,0,0,0,0,0,0,0,0,0,0,0,0
China,CHN,2014,22613800782,676381923.7,25.37227632,5.59E+11,127042,801135,2.02106,1113.07185,393962.7,0,107351,1997058,2104409
Cyprus,CYP,1974,0,0,0,0,59,0,0,0,0,0,547,106,653
Dominican Republic,DOM,1970,0,0,0,0,110,5,0,0,0,0,880,171,1051
Algeria,DZA,2012,137274934.9,2844580.771,0.130478689,2028775,781,119,0,0,3063.4,0,3524,2332,5856
Fragile and conflict affected situations,FCS,1986,6018618.008,3108948.125,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,2008,2448901.095,175340.1073,3.080455675,4628058,0,0,0,0,63.3,0,0,0,0
United Kingdom,GBR,1998,6652282989,7070738734,28.68156255,64898549541,10083,19530,1.57699,2697.05988,0,0,15738,21010,36748
Ghana,GHA,2003,0,0,7.383255314,7901997,0,0,0,0,145.9,0,0,0,0
"Gambia, The",GMB,1995,0,0,6.171168816,408414,0,0,0,0,0,0,0,0,0
"Gambia, The",GMB,2003,0,0,1.077462047,692,0,0,0,0,30.7,0,291,7,298
Haiti,HTI,2001,0,0,0,0,0,0,0,0,0,0,1325,323,1648
Haiti,HTI,2010,480000,2456647.71,0,0,0,0,0,0,13.3,0,1365,409,1774
IBRD only,IBD,1977,503187930.4,166073745.6,0,0,0,0,0,0,0,0,0,0,0
IDA only,IDX,1998,59234530.13,24523807.1,3.037066778,0,0,0,0,0,0,0,0,0,0
IDA only,IDX,2012,205956730,167876795.7,4.597583094,816634972,0,0,0,0,7619.987944,0,0,0,0
IDA only,IDX,2013,318663261.6,130886815.8,3.334858629,0,0,0,0,0,8071.959239,0,0,0,0
